Aruba,213,35693,0.6,154
Turks And Caicos Islands,36,6046,0.6,154
Saint Martin,63,10602,0.59,158
Timor Leste,131,22889,0.57,159
Barbados,433,76261,0.57,159
Gibraltar,102,18129,0.56,161
Portugal,22583,4066674,0.56,161
Germany,137919,25780226,0.53,163
New Caledonia,312,61049,0.51,164
Mayotte,187,37363,0.5,165
France,147257,29160802,0.5,165
Dominica,63,12685,0.5,165
French Guiana,397,81784,0.49,168
Liechtenstein,84,17347,0.48,169
Ireland,7203,1535451,0.47,170
Mongolia,2179,469885,0.46,171
Monaco,54,12004,0.45,172
Estonia,2556,573922,0.45,172
Luxembourg,1073,244182,0.44,174
Austria,18303,4212492,0.43,175
Kiribati,13,3093,0.42,176
Kuwait,2555,632074,0.4,177
Finland,4284,1069740,0.4,177
Viet Nam,43065,10696630,0.4,177
Seychelles,167,43235,0.39,180
Switzerland,13882,3631881,0.38,181
Isle Of Man,105,28416,0.37,182
Laos,754,209386,0.36,183
Japan,30039,8338211,0.36,183
Andorra,153,42156,0.36,183
Caribbean Netherlands,35,9915,0.35,186
Anguilla,9,2984,0.3,187
Netherlands,22292,8067116,0.28,188
Montserrat,2,747,0.27,189
Israel,10749,4106793,0.26,190
Bahrain,1479,576997,0.26,190
United Arab Emirates,2302,902484,0.26,190
Channel Islands,173,75275,0.23,193
Cyprus,1032,477711,0.22,194
Denmark,6287,2976667,0.21,195
Samoa,24,11313,0.21,195
Norway,3061,1429717,0.21,195
Reunion,762,405980,0.19,198
Qatar,677,366179,0.18,199
Greenland,21,11971,0.18,199
Maldives,298,179483,0.17,201
Vanuatu,14,8457,0.17,201
Brunei Darussalam,220,144659,0.15,203
Taiwan,1068,768543,0.14,204
South Korea,23709,17782061,0.13,205
Saint Barthelemy,6,4611,0.13,205
Palau,6,4879,0.12,207
Cayman Islands,28,23578,0.12,207
Australia,7794,6593795,0.12,207
Singapore,1362,1240233,0.11,210
Tonga,11,11049,0.1,211
Burundi,38,41235,0.09,212
New Zealand,923,1043683,0.09,212
Faeroe Islands,28,34658,0.08,214
Iceland,120,186545,0.06,215
Bhutan,21,59570,0.04,216
Saint Pierre And Miquelon,1,2739,0.04,216
Cook Islands,1,5410,0.02,218
China Macao Sar,0,82,0,219
Falkland Islands Malvinas,0,1126,0,219
Holy See,0,29,0,219
Nauru,0,8,0,219
Micronesia,0,7,0,219
Marshall Islands,0,17,0,219
Saint Helena,0,2,0,219
Niue,0,9,0,219
