USA,1026646,1016882496,334617623
Brazil,664920,63776168,215373503
India,524214,843836928,1405273033
Russia,377670,273400000,146050996
Mexico,324465,15855490,131455607
Peru,213023,30226868,33827210
UK,176708,519264096,68550166
Italy,165244,217853664,60296265
Indonesia,156458,97245392,278910317
France,147257,271490176,65542502
