Saint Barthelemy,4611,0.938
Kiribati,3093,0.942
Anguilla,2984,0.947
Saint Pierre And Miquelon,2739,0.951
Falkland Islands Malvinas,1126,0.956
Montserrat,747,0.96
Wallis And Futuna Islands,454,0.964
China Macao Sar,82,0.969
Holy See,29,0.973
Marshall Islands,17,0.978
Western Sahara,10,0.982
Niue,9,0.987
Nauru,8,0.991
Micronesia,7,0.996
Saint Helena,2,1
