Yemen,2149,11819,18.18
Western Sahara,1,10,10
Sudan,4936,62161,7.94
Peru,213023,3571919,5.96
Mexico,324465,5745652,5.65
Syria,3150,55869,5.64
Somalia,1350,26518,5.09
Egypt,24613,515645,4.77
Afghanistan,7690,179243,4.29
Bosnia And Herzegovina,15778,377511,4.18
