2020-10-28,519859
2020-10-29,551745
2020-10-30,575364
2020-10-31,514375
2020-11-01,468583
2020-11-02,451915
2020-11-03,517364
2020-11-04,578934
2020-11-05,627195
2020-11-06,630339
2020-11-07,639621
2020-11-08,506460
2020-11-09,470674
2020-11-10,583884
2020-11-11,634453
2020-11-12,648087
2020-11-13,660851
2020-11-14,612879
2020-11-15,517277
2020-11-16,487466
2020-11-17,585312
2020-11-18,627857
2020-11-19,663713
2020-11-20,668874
2020-11-21,617038
2020-11-22,524705
2020-11-23,523417
2020-11-24,585494
2020-11-25,643544
2020-11-26,626587
2020-11-27,611345
2020-11-28,602176
2020-11-29,529597
2020-11-30,488500
2020-12-01,597101
2020-12-02,649065
2020-12-03,697999
2020-12-04,697024
2020-12-05,654324
2020-12-06,552048
2020-12-07,517287
2020-12-08,625401
2020-12-09,668938
2020-12-10,704544
2020-12-11,716403
2020-12-12,670119
2020-12-13,559416
2020-12-14,530641
2020-12-15,627959
2020-12-16,737568
2020-12-17,738618
2020-12-18,729329
2020-12-19,659723
2020-12-20,560371
2020-12-21,534389
2020-12-22,637585
2020-12-23,707008
2020-12-24,703240
2020-12-25,548143
2020-12-26,451051
2020-12-27,461563
2020-12-28,504570
2020-12-29,638049
2020-12-30,773730
2020-12-31,780402
2021-01-01,652173
2021-01-02,550897
2021-01-03,549980
2021-01-04,557674
2021-01-05,740851
2021-01-06,813119
2021-01-07,851350
2021-01-08,832430
2021-01-09,762184
2021-01-10,635019
2021-01-11,581782
2021-01-12,701198
2021-01-13,749848
2021-01-14,751930
2021-01-15,753502
2021-01-16,683095
2021-01-17,555941
2021-01-18,471996
2021-01-19,607878
2021-01-20,666121
2021-01-21,651838
2021-01-22,636433
2021-01-23,601357
2021-01-24,480567
2021-01-25,434759
2021-01-26,544724
2021-01-27,594941
2021-01-28,596366
2021-01-29,581130
2021-01-30,532102
2021-01-31,417166
2021-02-01,388751
2021-02-02,462321
2021-02-03,487646
2021-02-04,508576
2021-02-05,497023
2021-02-06,441803
2021-02-07,362388
2021-02-08,318356
2021-02-09,392761
2021-02-10,444602
2021-02-11,446124
2021-02-12,427311
2021-02-13,388255
2021-02-14,303645
2021-02-15,263573
2021-02-16,349592
2021-02-17,397840
2021-02-18,402512
2021-02-19,412558
2021-02-20,389161
2021-02-21,318295
2021-02-22,283597
2021-02-23,381534
2021-02-24,444703
2021-02-25,448033
2021-02-26,437041
2021-02-27,397983
2021-02-28,322331
2021-03-01,294544
2021-03-02,372355
2021-03-03,447227
2021-03-04,450368
2021-03-05,454721
2021-03-06,414546
2021-03-07,380361
2021-03-08,292386
2021-03-09,395100
2021-03-10,469592
2021-03-11,482012
2021-03-12,494564
2021-03-13,454801
2021-03-14,379053
2021-03-15,336118
2021-03-16,457495
2021-03-17,535237
2021-03-18,552794
2021-03-19,559718
2021-03-20,519649
2021-03-21,437943
2021-03-22,424619
2021-03-23,506344
2021-03-24,591338
2021-03-25,635034
2021-03-26,634894
2021-03-27,596350
2021-03-28,504924
2021-03-29,457375
2021-03-30,549555
2021-03-31,646723
2021-04-01,706258
2021-04-02,653419
2021-04-03,568379
2021-04-04,555180
2021-04-05,480256
2021-04-06,632865
2021-04-07,690579
2021-04-08,747548
2021-04-09,792165
2021-04-10,724811
2021-04-11,656823
2021-04-12,582478
2021-04-13,744505
2021-04-14,813589
2021-04-15,843786
2021-04-16,837494
2021-04-17,806866
2021-04-18,733306
2021-04-19,655811
2021-04-20,831839
2021-04-21,887382
2021-04-22,890322
2021-04-23,901421
2021-04-24,847186
2021-04-25,748267
2021-04-26,671633
2021-04-27,837211
2021-04-28,892825
2021-04-29,903900
2021-04-30,878066
2021-05-01,818069
2021-05-02,699198
2021-05-03,669259
2021-05-04,784720
2021-05-05,850969
2021-05-06,861056
2021-05-07,842036
2021-05-08,798537
2021-05-09,668591
2021-05-10,607892
2021-05-11,717238
2021-05-12,757019
2021-05-13,747633
2021-05-14,700450
2021-05-15,649141
2021-05-16,551574
2021-05-17,535816
2021-05-18,618210
2021-05-19,664912
2021-05-20,657070
2021-05-21,625043
2021-05-22,585776
2021-05-23,490455
2021-05-24,444449
2021-05-25,526739
2021-05-26,563622
2021-05-27,538644
2021-05-28,510732
2021-05-29,502735
2021-05-30,416243
2021-05-31,367642
2021-06-01,451542
2021-06-02,493597
2021-06-03,477906
2021-06-04,422130
2021-06-05,411891
2021-06-06,339811
2021-06-07,315077
2021-06-08,366280
2021-06-09,424949
2021-06-10,439701
2021-06-11,416841
2021-06-12,382703
2021-06-13,309877
2021-06-14,302965
2021-06-15,376528
2021-06-16,404163
2021-06-17,391679
2021-06-18,406679
2021-06-19,369246
2021-06-20,304830
2021-06-21,280819
2021-06-22,383363
2021-06-23,437101
2021-06-24,408946
2021-06-25,417939
2021-06-26,382642
2021-06-27,325477
2021-06-28,315318
2021-06-29,393059
2021-06-30,401823
2021-07-01,436445
2021-07-02,443787
2021-07-03,403573
2021-07-04,354899
2021-07-05,347566
2021-07-06,443470
2021-07-07,469519
2021-07-08,496987
2021-07-09,497365
2021-07-10,452142
2021-07-11,400533
2021-07-12,400380
2021-07-13,525943
2021-07-14,566645
2021-07-15,577177
2021-07-16,581015
2021-07-17,530281
2021-07-18,489835
2021-07-19,435093
2021-07-20,526731
2021-07-21,566003
2021-07-22,573912
2021-07-23,585029
2021-07-24,548632
2021-07-25,494826
2021-07-26,468087
2021-07-27,617851
2021-07-28,674080
2021-07-29,680609
2021-07-30,659629
2021-07-31,601817
2021-08-01,550543
2021-08-02,506329
2021-08-03,641345
2021-08-04,702820
2021-08-05,723766
2021-08-06,715681
2021-08-07,647610
2021-08-08,573520
2021-08-09,528852
2021-08-10,673383
2021-08-11,714881
2021-08-12,732369
2021-08-13,740945
2021-08-14,656773
2021-08-15,570945
2021-08-16,535335
2021-08-17,690402
2021-08-18,719716
2021-08-19,755815
2021-08-20,732805
2021-08-21,650117
2021-08-22,570591
2021-08-23,530600
2021-08-24,696043
2021-08-25,745818
2021-08-26,749521
2021-08-27,736657
2021-08-28,654344
2021-08-29,566136
2021-08-30,544610
2021-08-31,649579
2021-09-01,705418
2021-09-02,708457
2021-09-03,691870
2021-09-04,595701
2021-09-05,546014
2021-09-06,498823
2021-09-07,558020
2021-09-08,619763
2021-09-09,635941
2021-09-10,616743
2021-09-11,562577
2021-09-12,492565
2021-09-13,451094
2021-09-14,539452
2021-09-15,584441
2021-09-16,597642
2021-09-17,581874
2021-09-18,503969
2021-09-19,433186
2021-09-20,414099
2021-09-21,501141
2021-09-22,545853
2021-09-23,532198
2021-09-24,518528
2021-09-25,451837
2021-09-26,403320
2021-09-27,383375
2021-09-28,449307
2021-09-29,499419
2021-09-30,507219
2021-10-01,482238
2021-10-02,416555
2021-10-03,359372
2021-10-04,348900
2021-10-05,435774
2021-10-06,462942
2021-10-07,473886
2021-10-08,454987
2021-10-09,401796
2021-10-10,355214
2021-10-11,332880
2021-10-12,415684
2021-10-13,455255
2021-10-14,460382
2021-10-15,446442
2021-10-16,395848
2021-10-17,343443
2021-10-18,349071
2021-10-19,438873
2021-10-20,464688
2021-10-21,474689
2021-10-22,462348
2021-10-23,418187
2021-10-24,360746
2021-10-25,343052
2021-10-26,449073
2021-10-27,482679
2021-10-28,497070
2021-10-29,477335
2021-10-30,433099
2021-10-31,371539
2021-11-01,369495
2021-11-02,422451
2021-11-03,488497
2021-11-04,531898
2021-11-05,518054
2021-11-06,470477
2021-11-07,394715
2021-11-08,392255
2021-11-09,496386
2021-11-10,561658
2021-11-11,570258
2021-11-12,546752
2021-11-13,495032
2021-11-14,418735
2021-11-15,432063
2021-11-16,537334
2021-11-17,613689
2021-11-18,631484
2021-11-19,609282
2021-11-20,561639
2021-11-21,462022
2021-11-22,471195
2021-11-23,604112
2021-11-24,652937
2021-11-25,645019
2021-11-26,622347
2021-11-27,551137
2021-11-28,466188
2021-11-29,484847
2021-11-30,639493
2021-12-01,702692
2021-12-02,728536
2021-12-03,725304
2021-12-04,628577
2021-12-05,514510
2021-12-06,490669
2021-12-07,654991
2021-12-08,705102
2021-12-09,708294
2021-12-10,692898
2021-12-11,610079
2021-12-12,532437
2021-12-13,489932
2021-12-14,681012
2021-12-15,764914
2021-12-16,781851
2021-12-17,772233
2021-12-18,692964
2021-12-19,600623
2021-12-20,584302
2021-12-21,829869
2021-12-22,973875
2021-12-23,1069884
2021-12-24,1060353
2021-12-25,950314
2021-12-26,657963
2021-12-27,840035
2021-12-28,1346966
2021-12-29,1690963
2021-12-30,2037212
2021-12-31,2004009
2022-01-01,1858096
2022-01-02,1276240
2022-01-03,1504192
2022-01-04,2242725
2022-01-05,2726811
2022-01-06,2802388
2022-01-07,2823573
2022-01-08,2712278
2022-01-09,2440285
2022-01-10,2193560
2022-01-11,2976323
2022-01-12,3303140
2022-01-13,3377423
2022-01-14,3358774
2022-01-15,2998264
2022-01-16,2687450
2022-01-17,2464240
2022-01-18,3331720
2022-01-19,3715149
2022-01-20,3825850
2022-01-21,3829248
2022-01-22,3460203
2022-01-23,2900243
2022-01-24,2542902
2022-01-25,3590062
2022-01-26,3710094
2022-01-27,3712923
2022-01-28,3581925
2022-01-29,3093366
2022-01-30,2566550
2022-01-31,2337644
2022-02-01,3134652
2022-02-02,3156014
2022-02-03,3197300
2022-02-04,3027817
2022-02-05,2466633
2022-02-06,2078464
2022-02-07,1903312
2022-02-08,2700653
2022-02-09,2654662
2022-02-10,2560038
2022-02-11,2382456
2022-02-12,2032835
2022-02-13,1635390
2022-02-14,1506534
2022-02-15,1981181
2022-02-16,2152091
2022-02-17,2080641
2022-02-18,1981533
2022-02-19,1697648
2022-02-20,1410985
2022-02-21,1316329
2022-02-22,1689237
2022-02-23,1884479
2022-02-24,1825472
2022-02-25,1677986
2022-02-26,1470959
2022-02-27,1273273
2022-02-28,1202443
2022-03-01,1478568
2022-03-02,1680420
2022-03-03,1711851
2022-03-04,1743947
2022-03-05,1561298
2022-03-06,1324692
2022-03-07,1294606
2022-03-08,1700785
2022-03-09,1784028
2022-03-10,1911690
2022-03-11,1772867
2022-03-12,1614296
2022-03-13,1509115
2022-03-14,1291312
2022-03-15,1810233
2022-03-16,1951249
2022-03-17,2156744
2022-03-18,1856938
2022-03-19,1598212
2022-03-20,1272005
2022-03-21,1169219
2022-03-22,1790821
2022-03-23,1908347
2022-03-24,1804508
2022-03-25,1653452
2022-03-26,1401738
2022-03-27,1123734
2022-03-28,1087272
2022-03-29,1627553
2022-03-30,1668273
2022-03-31,1538856
2022-04-01,1368478
2022-04-02,1132468
2022-04-03,865441
2022-04-04,768560
2022-04-05,1298827
2022-04-06,1276794
2022-04-07,1215392
2022-04-08,1124895
2022-04-09,918399
2022-04-10,729397
2022-04-11,584172
2022-04-12,1075100
2022-04-13,1026151
2022-04-14,989055
2022-04-15,781171
2022-04-16,649363
2022-04-17,531176
2022-04-18,376223
2022-04-19,635872
2022-04-20,975821
2022-04-21,870753
2022-04-22,713197
2022-04-23,638535
2022-04-24,476688
2022-04-25,423473
2022-04-26,654541
2022-04-27,740842
2022-04-28,709688
2022-04-29,610612
2022-04-30,511155
2022-05-01,366507
2022-05-02,309120
2022-05-03,651933
2022-05-04,668781
2022-05-05,634431
2022-05-06,551843
2022-05-07,507916
2022-05-08,398247
2022-05-09,385833
2022-05-10,650042
2022-05-11,649201
2022-05-12,666242
2022-05-13,565646
2022-05-14,414583
